--- 左ページ ---

問13 建物の区分所有等に関する法律の次の記述のうち、誤っているものはどれか。
1 各共有者の共用部分の持分は、規約に別段の定めがない限り、共有者数で等分することとされている。
2 規約及び集会の決議は、区分所有者の特定承継人に対しても、その効力を生ずる。
3 管理者は、集会において、毎年1回一定の時期に、その事務に関する報告をしなければならない。
4 集会の招集の通知は、区分所有者が管理者に通知を受けるべき場所を通知しなかったときは区分所有者の所有する専有部分が所在する場所にあててすれば足りる。この場合には、集会の招集の通知は、通常それが到達すべき時に到達したものとみなされる。

問14 不動産の登記に関する次の記述のうち、不動産登記法の規定によれば、誤っているものはどれか。
1 建物が滅失したときは、表題部所有者又は所有権の登記名義人は、その滅失の日から1か月以内に、当該建物の滅失の登記を申請しなければならない。
2 何人も、理由の有無にかかわらず、登記官に対し、手数料を納付して、登記簿の附属書類である申請書を閲覧することができる。
3 共有物分割禁止の定めに係る権利の変更の登記の申請は、当該権利の共有者である全ての登記名義人が共同してしなければならない。
4 区分建物の所有権の保存の登記は、表題部所有者から所有権を取得した者も、申請することができる。

問15 都市計画法に関する次の記述のうち、正しいものはどれか。
1 市街化調整区域は、土地利用を整序し、又は環境を保全するための措置を講ずることなく放置すれば、将来における一体の都市としての整備に支障が生ずるおそれがある区域とされている。
2 高度利用地区は、土地の合理的かつ健全な高度利用と都市機能の更新とを図るため、都市計画に、建築物の高さの最低限度を定める地区とされている。
3 特定用途制限地域は、用途地域が定められている土地の区域内において、都市計画に、制限すべき特定の建築物等の用途の概要を定める地域とされている。
4 地区計画は、用途地域が定められている土地の区域のほか、一定の場合には、用途地域が定められていない土地の区域にも定めることができる。

592

--- 右ページ ---

問16 都市計画法（以下この問において「法」という。）に関する次の記述のうち、正しいものはどれか。ただし、この問において条例による特別の定めはないものとし、「都道府県知事」とは、地方自治法に基づく指定都市、中核市及び施行時特例市にあってはその長をいうものとする。
1 市街化区域において行う、医療法に規定する病院を建築するための1,000㎡の開発行為については、法第29条に基づく都道府県知事の許可を得る必要がある。
2 市街化区域において行う、開発行為を伴わない建築物の建築で、当該建築物の床面積が1,000㎡以上のものについては、法第29条に基づく都道府県知事の許可を得る必要がある。
3 市街化調整区域において行う、都市計画事業の施行のための開発行為については、法第29条に基づく都道府県知事の許可を得る必要がある。
4 法第29条に基づく許可を受けた者は、当該許可に係る土地についての一定の事項を開発登録簿に登録しなければならない。

問17 次の記述のうち、建築基準法（以下この問において「法」という。）の規定によれば、正しいものはどれか。
1 法第53条第1項及び第2項の建蔽率制限に係る規定の適用については、準防火地域内にある準耐火建築物であり、かつ、街区の角にある敷地又はこれに準ずる敷地で特定行政庁が指定するものの中にある建築物にあっては同条第1項各号に定める数値に10分の2を加えたものをもって当該各号に定める数値とする。
2 建築物又は敷地を造成するための擁壁は、道路内に、又は道路に突き出して建築し、又は築造してはならず、地盤面下に設ける建築物においても同様である。
3 地方公共団体は、その敷地が袋状道路にのみ接する建築物であって、延べ面積が150㎡を超えるものについては、一戸建ての住宅であっても、条例で、その敷地が接しなければならない道路の幅員、その敷地が道路に接する部分の長さその他その敷地又は建築物と道路との関係に関して必要な制限を付加することができる。
4 冬至日において、法第56条の2第1項の規定による日影規制の対象区域内の土地に日影を生じさせるものであっても、対象区域外にある建築物であれば一律に、同項の規定は適用されない。

予想模擬試験 593
