--- 左ページ ---

問35 次の記述のうち、宅地建物取引業法の規定によれば、誤っているものはどれか。
1 宅地建物取引業の免許の有効期間は5年であり、免許の更新の申請は、有効期間満了の日の90日前から30日前までの間に行わなければならない。
2 宅地建物取引業者から免許の更新の申請があった場合において、有効期間の満了の日までにその申請について処分がなされないときは、従前の免許は、有効期間の満了後もその処分がなされるまでの間は、なお効力を有する。
3 個人である宅地建物取引業者A（甲県知事免許）が死亡した場合、Aの相続人は、Aの死亡の日から30日以内に、その旨を甲県知事に届け出なければならない。
4 法人である宅地建物取引業者B（乙県知事免許）が合併により消滅した場合、Bを代表する役員であった者は、その日から30日以内に、その旨を乙県知事に届け出なければならない。

問36 宅地建物取引業者Aが宅地建物取引業法第37条の規定により交付すべき書面（以下この問において「37条書面」という。）に記載すべき事項を電磁的方法により提供すること（以下この問において「37条書面の電磁的方法による提供」という。）に関する次の記述のうち、正しいものはどれか。
1 Aが自ら売主として締結する宅地の売買契約において、37条書面の電磁的方法による提供を行う場合、当該契約の相手方に対し、あらかじめ、電磁的方法による提供に用いる電磁的方法の種類及び内容を宅地建物取引士に説明させなければならない。
2 Aが媒介業者として関与する建物賃貸借契約において、37条書面の電磁的方法による提供を行う場合、その方法は37条書面の交付に係る宅地建物取引士が明示されるものでなければならない。
3 Aが自ら売主として締結する宅地の売買契約において、契約の相手方から37条書面の電磁的方法による提供について書面により承諾を得た場合は、その後に当該契約の相手方から書面で電磁的方法による提供を受けない旨の申出があったときでも、37条書面の電磁的方法による提供をすることができる。
4 Aが媒介業者として関与する宅地の売買契約において、37条書面の電磁的方法による提供を行う場合であっても、提供後速やかに37条書面を交付しなければならない。

--- 右ページ ---

問37 宅地建物取引業法第50条第2項の届出をすべき場所に関する次の記述のうち、誤っているものはどれか。なお、これらの場所では、宅地若しくは建物の売買若しくは交換の契約（予約を含む。）若しくは宅地若しくは建物の売買、交換若しくは賃貸の代理若しくは媒介の契約を締結し、又はこれらの契約の申込みを受けるものとする。
1 届出をすべき場所として、継続的に業務を行うことができる施設を有する場合で事務所以外のものが定められているが、当該場所には1名以上の成年者である専任の宅地建物取引士を置かなければならない。
2 届出をすべき場所として、10区画以上の一団の宅地又は10戸以上の一団の建物の分譲（以下この問において「一団の宅地建物の分譲」という。）をする場合に設置する案内所が定められているが、当該案内所が土地に定着する建物内に設けられる場合、クーリング・オフ制度の適用が除外される。
3 届出をすべき場所として、他の宅地建物取引業者が行う一団の宅地建物の分譲の代理又は媒介をする場合に設置する案内所が定められており、この場合は、代理又は媒介をする宅地建物取引業者が届出をするが、売主業者自身も当該案内所で売買契約の申込みを受ける場合は届出をする。
4 届出をすべき場所として、宅地建物取引業者が業務に関し展示会その他これに類する催しを実施する場所が定められているが、その催しを開始する10日前までに、実施場所を管轄する都道府県知事に届け出なければならず、免許を受けた国土交通大臣又は都道府県知事に届け出る必要はない。

問38 宅地建物取引士に関する次の記述のうち、正しいものはどれか。なお、この問において「登録」とは、宅地建物取引士の登録をいうものとする。
1 甲県知事の登録を受けている宅地建物取引士は、乙県に主たる事務所を置く宅地建物取引業者の専任の宅地建物取引士となる場合、乙県知事に登録の移転を申請しなければならない。
2 宅地建物取引士の氏名等が登載されている宅地建物取引士資格登録簿は一般の閲覧に供されることはされておらず、一般の閲覧に供される宅地建物取引業者名簿に専任の宅地建物取引士の氏名が登載されることもない。
3 宅地建物取引士が、刑法第204条（傷害）の罪により罰金の刑に処せられ、登録が消除された場合、当該登録が消除された日から5年を経過するまでは、新たな登録を受けることができない。
4 未成年者は、宅地建物取引業に係る営業に関し成年者と同一の行為能力を有していたとしても、成年に達するまでは登録を受けることができない。

予想模擬試験 603
